cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr
Basel_10,34.878,58.304,0.442,-0.48,-0.815,8,134.3043114088011,-2.60967106716181,70.79456289251887
Basel_11a,109.296,-13.988,0.709,-1.581,0.929,92,228.2841168717927,-0.7682794611277419,95.49926279631119
Basel_11b,89.547,21.965,0.534,1.046,-4.137,73,187.4423204962465,-1.1172562809222923,229.0865841769215
Basel_17,167.65,-59.047,0.438,-6.628,2.174,18,290.2740686715666,1.3240541251583215,104.71296517666539
Basel_18,201.967,-62.306,0.508,-5.008,-2.05,49,307.1506950100282,0.266973428241477,27.542290662215265
Basel_4,87.242,30.19,0.286,0.835,-1.801,45,179.3044708271892,1.2721599286269545,112.20189470737863
Basel_8,98.55,8.005,0.625,-0.129,-2.373,14,203.84862146611087,-0.15614577113364042,69.18312139914401
Berkeley_1,2.449,60.476,0.235,-2.758,-0.173,48,117.82011515993632,-1.9817856358443207,301.99485372543654
Berkeley_10,54.894,66.486,0.372,-1.47,1.047,179,138.61913580716967,8.881212809583847,1202.2642234116693
Berkeley_100,351.485,63.781,0.123,-3.372,-1.557,31,113.65715775351622,2.4595315974479153,1230.26920306321
Berkeley_101,353.213,64.209,0.177,-1.899,-1.089,38,114.51136172082349,2.6296257363365707,380.18932953144076
Berkeley_102,354.66,56.637,0.05,-1.559,-0.34,21,113.006161408865,-4.825301961499613,3890.4528168399447
Berkeley_103,356.303,59.297,0.093,-1.348,-0.861,33,114.55786871571341,-2.493742664283148,1096.4780998322171
Berkeley_104,0.865,63.587,0.198,-2.392,0.09,47,117.62644599042325,1.2105557265630338,776.2477302754551
Berkeley_11,65.126,44.922,0.322,1.08,-1.883,76,157.06563032575767,-3.6504313896431477,69.18312139914401
Berkeley_12,71.1,42.691,0.202,0.836,-1.713,76,161.63973900004723,-2.0139585905393638,1995.263191254866
Berkeley_13,73.943,52.809,0.208,-0.078,0.558,135,155.0690471925081,5.9188000232253595,489.7783461428336
Berkeley_14,74.935,43.488,0.187,1.504,0.426,189,162.80470148610328,0.6544373853090748,2691.536695250797
Berkeley_14A,75.278,43.429,0.882,-0.225,-2.741,4,163.00458412774304,0.8142011160842264,
Berkeley_15,75.52,44.506,0.339,0.782,-0.872,114,162.26050060068448,1.6122367004907419,18.620870548831206
Berkeley_17,80.13,30.574,0.281,2.618,-0.35,254,175.65781852313663,-3.676893431142445,7244.353873869618
Berkeley_18,80.531,45.442,0.152,0.849,-0.057,253,163.58913778555825,5.0296357857311325,4365.161773191
Berkeley_19,81.014,29.575,0.135,0.757,-0.329,45,176.91683028908477,-3.609982656833488,2187.762392612301
Berkeley_2,6.319,60.392,0.117,-1.101,-0.304,73,119.70318501613755,-2.315635077804621,588.8442760205689
