source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,l,b,pf,type_best_classification
4660388100039395200,80.903241972193,-66.96030268706444,-0.014573454744506458,0.040971246,1.8453938838207624,0.22313497882205585,16.545416,277.17390638807876,-33.356420606998036,,DCEP
4660475442500361728,78.88533710092527,-66.37992215808652,0.008097888630038843,0.024192816,1.7011056364841088,0.23585029357884457,15.365306,276.64534008529733,-34.24095270718203,4.534028992626422,DCEP
4660732659481358208,83.4111009191741,-65.36947974279416,0.0013426059981513326,0.029651834,1.4942717592755776,0.39990272465206217,15.886688,275.14379001380496,-32.547251722630016,3.3847348409635933,DCEP
5257387145425307008,145.5927265214934,-59.079050888273166,0.04022473211206211,0.21933642,-2.927826052818742,2.450022689073544,19.255589,280.6801799018363,-4.6370709983383875,5.599437949532229,T2CEP
4658351594015603968,79.02741952780053,-68.72946415551036,-0.11737100926790472,0.046359293,2.138944477293089,0.3341190215368946,15.903532,279.41385504572156,-33.73663412528456,,DCEP
4658370427467115264,78.20062644171291,-68.48514088564032,-0.03045200225064303,0.030756298,2.0877704750673924,0.15960687195445836,15.950952,279.202179993118,-34.08272529191709,3.2235058772458474,DCEP
4657641073320246912,84.83359000012977,-69.55711557500202,0.021380014728435585,0.038437527,1.8261491947718693,0.37163707712504374,16.459435,279.98984659183975,-31.564465614846707,,DCEP
2058874388200159872,302.80662666464775,35.41354167513492,0.19703362608388497,0.015235763,-2.279368786880916,-4.147206014073978,11.564838,72.91755312102921,0.9615424782160437,7.578310750141988,DCEP
4690525438865703936,15.693789536695034,-71.98776108000102,-0.020659446353611492,0.041457754,0.9023175767647451,-1.338262036824219,16.516693,301.6904213471433,-45.113149849858274,2.532247349917503,DCEP
6053538666055899648,186.99325926576904,-63.623992283841275,0.04944240862185868,0.080445245,-5.943741789223502,0.28595943902202325,17.64225,300.3291475472506,-0.8708874027834173,,DCEP
4358079989286734336,248.3772155675861,-2.8373188197553056,0.1243875477502759,0.032365948,1.0109022388154862,-6.369329223819705,15.288556,12.79435375743046,28.729739082703347,1.2093580703363633,T2CEP
4056290053524099712,268.7314272203647,-29.958726525000657,0.16010079498994692,0.102156706,-1.3900704973593427,-8.194083261498783,16.259344,0.16037862788071847,-2.2635635772444,3.5426442453439453,T2CEP
5935480602196674432,244.24575143034772,-50.23951691900433,0.2554693208145584,0.1325843,-3.387910623739348,-4.434974612742694,14.750901,332.9156795759694,0.26953201335844645,28.97686299579649,DCEP
4661356769806483072,74.88930138233326,-68.213940953028,-0.04819034245803675,0.03440126,1.5772186866682665,-0.306245753314475,15.927641,279.24104687575795,-35.333582138014954,,DCEP
5329323277776517120,130.3648002929452,-47.6496635932067,0.08697941130975195,0.014126054,-2.156281215380749,3.168802304860349,14.01446,266.16232083402576,-3.4454796815522597,3.175332426595746,DCEP
4685866911208087936,13.692737760066077,-73.50543498409533,0.0036630728396758183,0.035337955,0.8838968724607938,-1.129955617903804,16.295284,302.6051238422792,-43.62070006245568,,DCEP
4685897766258375424,14.417240777525267,-73.2217336456029,0.08311508702363053,0.05275575,0.8844398561424274,-1.2630086623301602,16.917881,302.3079221119294,-43.89896610745748,1.4655430400526006,DCEP
4685951607946352768,12.909443601134434,-73.07874379638265,0.0010612051602849615,0.026936121,0.3972188233542088,-1.3965900377179883,15.75508,302.9116869903291,-44.0494983522403,6.6595610279458635,DCEP
5966081350839942784,256.9486489090333,-41.09652546076037,0.08051883214784171,0.041492335,-2.1101701492594516,-3.439171960402371,14.375781,345.6087519576404,-0.3813354794616872,17.225388731322262,DCEP
