source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,l,b,distance_kpc,r_galactocentric_kpc
5963133113459481600,254.91836390397089,-46.482931495816295,0.9993132742393592,0.04064362,1.0049312144620566,-2.8809359957929024,7.7035336,-0.014278412,340.44052522721165,-2.494314894598471,1.0006871976769882,7.187748209627945
5824250088944227328,233.025726282587,-65.51813395592687,0.3564684434234572,0.024051538,-1.5379257453457442,-3.052521494772991,10.719689,-0.03747177,318.5780873002087,-7.651497121807442,2.8052974069631085,6.311167480048178
5830447073916948352,248.23296267138855,-60.89132259790067,0.4496874562683888,0.03763136,-4.756768864570397,-2.729133960349198,15.459308,-0.17853451,326.82500784911275,-8.764832514339334,2.223766720775876,6.396508739110061
5912911442405751680,264.5046894374736,-58.78158655799243,0.3196520860837898,0.02639767,2.04586958291864,-0.0431471459885696,14.591579,-0.046360016,333.4198730914044,-14.16400674915804,3.1284012948311304,5.5769692232586845
5929795611717216640,253.31554268234623,-54.106032694117,0.6246714508108308,0.03966157,-3.0580426000632768,-7.0276146562392485,15.867851,-0.09691715,333.81530098716536,-6.436665836519456,1.600841528297777,6.7311985677849915
5343932179542596096,176.36535879359815,-55.48138992524728,0.9805058892917192,0.02160512,-6.475143008889937,1.5334417858600893,11.00699,-0.0003786087,293.61863079631684,6.19282585949803,1.019881686506098,7.771497270125489
5347227965647133184,166.75090050985563,-54.32516560109861,0.9020348398707234,0.034903225,10.330518017465163,-0.2382254332984236,13.144312,-0.41407108,287.9907981486689,5.48889479755322,1.1086046301086514,7.851628238028517
5414472962914329984,151.8331733071979,-46.192193674683466,2.856677968093487,0.021129357,-20.074220943363624,7.611723219284207,8.83552,-0.028490067,275.6329030981907,7.799848354326967,0.3500569581762792,8.095319191660582
5794655049822739200,237.39525275880143,-72.73556906368432,2.8467412504275766,0.02670251,-7.004229768186663,-13.167850821464835,8.600968,-0.04529953,315.3365509657428,-14.309667087281207,0.3512788525651221,7.883537068120682
5254443203058143488,159.81613671127576,-60.21498949482154,0.612819652974729,0.044624034,-6.336527046473096,2.719598127467363,10.421443,-0.049459457,287.2111999609162,-1.4413246181027024,1.6318014527534046,7.7966133051611
5255028177586829568,154.74084077153057,-59.91386682879373,0.6243727005073128,0.019621423,-5.994436963441364,4.42940423426588,10.763957,-0.036192894,284.88817337824645,-2.4958552025844987,1.6016075001156906,7.864413426240534
5329122067149201152,130.56744410010623,-48.09907555741732,0.9478630353991352,0.11209407,-3.714003542088776,4.757721788035468,5.479792,-0.2241087,266.60156989131053,-3.613521097280922,1.0550047450462192,8.25162844980101
5340389724892633984,166.69895141946554,-57.349189585183616,0.8050251636814952,0.035338696,-17.301538307739396,-5.083314295969384,14.953272,-0.44580078,289.1556992698322,2.6968059484152325,1.2421971947148298,7.803373432968919
5351615429357281280,158.16111626321165,-57.62651549978211,0.5743493944578912,0.024803339,-6.594009374874947,3.2179596550219047,10.218618,-0.028300285,285.18536926701984,0.3823115321097496,1.7411004688946627,7.847927482081752
